#132 PC3-1-SC-E8
#132 PL12 SC-D1
#16-15
#40a
#490
#822
#G65G
(BF1) 8A3.31
150-5
151-5-G2-12
151-5-G3-5
151-6-A7-9
151-7
151TAg
152-6D11
153.8E2.D10.D6.12.12
155
155-11C7
155-8G1
155-9F6
158.2
159-183-10
159-2
159-291-1
15B2
15B3
15C12
15C6 [Mouse hybridoma against mouse cytomegalovirus m144]
15C6 [Mouse/rat hybridoma against mouse Cd1d1]
15C9
15E3/53
15F1.5
15F12F8
15F3-1
15F7
15F9
15G7
15H6
15P-1
16-1-11N
16-1-2N
16-10A1
16-23
16-3-1N
16-3-22S
16-8
16.4.12E
160CT8531
1613F12
1614G5
161CT7112
162
162-21.2
162-46.2
163-93
164 Msar FE
164-3F3
164T2
165-28E7
165-34E4
166-32
16610D9
167-1
167.2
168
168.6
168A51-2
168A51-42
168B17-46-34
168B17-46-50
168B17-46-70
168B17-46-92
168FAR
168FARN
169-3
169-477-5
169-90-2
169A [Mouse hybridoma against human ITGAD]
169B
16A3
16B
16B2B1
16B3
16B5
16B8
16C11
16C3
16C7
16D17
16D3-C1
16D4B
16D6-3
16F7
16F9
16G9
16H3
16H9
16M3F10
17-1
17-3-3S
17-4-3
17-5-3-10
17-Cl1
17-G4
17/14
171-10E5
171-11B9
171-19B10
171-337-2
171-4
172-12A4
172-12G7
172-3
173-185-1
173-1C11
173-8D2
173E
174-24-11
175-62
175.2
176-15
176-2-5
176-3-6
177-1
177E6
1780D2.6
178H11
179-2
17A10-2-2
17aba
17B6
17c
17C1
17D
17D4
17E4-D6
17E9
17F4.F4
17F9
17G1
17H23
18-1
18-2-3
18-26-4
18-5
18-8
18-81
18-9B10
18.1
18/1
18/20PAC2
1802.2
182-D1106-055
182-D1106-056
182-D1106-057
182-D1106-058
182-D1106-059
182-D1106-061
182-D1106-062
182-D1106-067
182-D1106-279
182-D1106-294
182-D1106-362
182-D758-035
182-D758-036
182-D758-040
182.1
183-1
183-H12-5C
187-1
187.1
187.10
18A4
18B10.C7
18B6 [Mouse hybridoma against G.vaginalis vaginolysin]
18B6 [Mouse hybridoma against mAB RHD5]
18B8
18C2.8.3
18D5
18E12
18E9.G3.D7
18G8
18H3A
19-7
19.1.2
19.2.1
19.22.1
19/178C1
1904.2
190F2A6
191
191D8G12
192B6D6
192B6D8
1939-3G5
1939-8G2
193E11E5B11
193F10C8C11
193F9C5
193G2E10
194-62-7
195D2E12
195D2G12
196D2D5
196F5F6
196G10G11
196G5D9
1970C3
197D10H5
198
198B11H2
198E9E10
198F7C6
198H11H2
19A2
19B3
19C5
19D07
19E11
19F3
19F8
19g
19G4
19G7-C10
19G8
19X14
1A-3187
1A-4246
1A1 [Mouse hybridoma against human GPC3]
1A1 [Mouse hybridoma against L.mesenteroides zwf]
1A1-1D7
1A1-2
1A1/B2
1A10
1A11
1A12
1A12-2A4
1A245.6
1A3 [Mouse hybridoma against HeLa]
1A3 [Mouse hybridoma against human AURKA]
1A3 [Mouse hybridoma against Seneca Valley virus VP2]
1A3.1
1A3.1.1
1A3.3.13
1A3G4
1A4
1A5 [Mouse hybridoma against CDV hemagglutinin]
1A5 [Mouse hybridoma against imazethapyr]
1A5 [Mouse hybridoma against Seneca Valley virus VP3]
1A6 [Mouse hybridoma against mitragynine]
1A6 [Mouse hybridoma against PCV2 Cap]
1A6H14
1A7
1A8
1A81
1A8C3C10
1A9 [Mouse hybridoma against forskolin]
1A9 [Mouse hybridoma against M.rotundus 104 kDa spore protein]
1A9 [Mouse hybridoma against rat Hmgb1]
1AA4
1AG2
1AG8
1B-3246
1B-3440
1B-4863
1B-4971
1B1
1B1.1
1B10-1D1
1B11-2E3
1B11E4B11
1B12 [Mouse hybridoma against human CD14]
1B12 [Mouse hybridoma against influenza A virus HA]
1B2 [Mouse hybridoma against Ebola virus NP]
1B2 [Mouse hybridoma against goose parvovirus NS1]
1B2 [Mouse hybridoma against human CD59]
1B2 [Mouse hybridoma against piperacillin]
1B2-1B7
1B2A3
1B3 [Mouse hybridoma against aconitine-type alkaloids]
1B3 [Mouse hybridoma against human BSG]
1B4 [Mouse hybridoma against fibrin D-dimer]
1B4 [Mouse hybridoma against human MMP3]
1B4A11D11
1B5 [Mouse hybridoma against human RPSA]
1B5 [Mouse myogenic]
1B6A11F2
1B7
1B7.11
1B71B4
1B8
1B8-F11
1B8A2
1BH3
1C1 [Mouse hybridoma against artemisinin/artesunate]
1C1 [Mouse hybridoma against Ebola virus VP40]
1C1 [Mouse hybridoma against FeLV gp70]
1C1 [Mouse hybridoma against influenza A virus HA]
1C10 [Mouse hybridoma against A.aegypti salivary glands]
1C10 [Mouse hybridoma against aflatoxin G1]
1C10 [Mouse hybridoma against HNK-1]
1C10 [Mouse hybridoma against human MBL2]
1C10 [Mouse/sheep heteromyeloma]
1C11 [Mouse hybridoma against aflatoxins]
1C11 [Mouse hybridoma against Drosophila fz]
1C11 [Mouse hybridoma against FIV p24]
1C11 [Mouse hybridoma against HIV-1 antigens]
1C11 [Mouse hybridoma against T.annularis PA2 inhibitor gamma A2]
1C11 [Mouse teratocarcinoma]
1C12 [Mouse hybridoma against FeLV p15E]
1C12 [Mouse hybridoma against Seneca Valley virus VP2]
1C12 [Mouse hybridoma against T.annulata macroschizonts]
1C1H11
1C2
1C3 [Mouse hybridoma against human HFE]
1C3 [Mouse hybridoma against human HMGB1]
1C3 [Mouse hybridoma against SFTV N]
1C5 [Mouse hybridoma against human MIF]
1C5 [Mouse hybridoma against human UBA1]
1C5 [Mouse hybridoma against Pseudomonas P.J. 874 hpd]
1C6 [Mouse hybridoma against Ebola virus VP35]
1C6 [Mouse hybridoma against human IL37]
1C6 [Mouse hybridoma against M.tuberculosis Ag85A]
1C6.5
1C7 [Mouse hybridoma against CDV hemagglutinin]
1C7 [Mouse hybridoma against L.japonicum basal apparatus]
1C7 [Mouse hybridoma against M.honghuensis polar filament]
1C7 [Mouse hybridoma against T.annularis PA2 inhibitor gamma A2]
1C7 [Mouse hybridoma against T.annulata macroschizonts]
1C8 [Mouse hybridoma against aflatoxin G1]
1C8 [Mouse hybridoma against N.fowleri NfCPB-L]
1C9
1C9H6F2C1
1CB4
1D1
1D10
1D10(AAT) Clone 8D10
1D11
1D11.16.8
1D12-1D5
1D12-B5
1D2 [Mouse hybridoma against human RPSA]
1D2 [Mouse hybridoma against imazethapyr]
1D3 [Mouse hybridoma against aflatoxins]
1D3 [Mouse hybridoma against human neutrophils]
1D3 [Rat hybridoma against mouse Itgb1]
1D3B8
1D4 [Mouse hybridoma against B.germanica Bla g 2]
1D4 [Mouse hybridoma against Drosophila fas2]
1D4 [Mouse hybridoma against human AZGP1]
1D4 [Mouse hybridoma against human herpesvirus 1 p40]
1D4 [Mouse hybridoma against human IL37]
1D4 [Mouse hybridoma against human TG]
1D4 [Mouse hybridoma against influenza D virus HE]
1D4 [Mouse hybridoma against parathion]
1D4 iPS
1D5
1D5-3B-7
1D5H12F1A7
1D6
1D6-3-8
1D6.3.8
1D7 [Mouse hybridoma against human GOLM1]
1D7 [Mouse hybridoma against phthalate]
1D7-H11
1D8 [Mouse hybridoma against human KLK6]
1D8 [Mouse hybridoma against pig IgA]
1D9 [Mouse hybridoma against HIV-1 isolate HXB2 tat]
1D9 [Mouse hybridoma against N.fowleri NfCPB-L]
1D9 [Mouse hybridoma against zearalenone]
1DE8
1E1 [Mouse hybridoma against G.vaginalis vaginolysin]
1E1 [Mouse hybridoma against human CD14]
1E1 [Mouse hybridoma against influenza D virus HE]
1E10
1E10.16.4
1E11 [Mouse hybridoma against human CD83]
1E11 [Mouse hybridoma against T.annulata macroschizonts]
1E11.15
1E12
1E12b
1E2 [CRISPR/Cas9 edited mouse hybridoma against influenza D virus HE]
1E2 [Mouse hybridoma against HIV-1 antigens]
1E2 [Mouse hybridoma against human AZGP1]
1E2-1D11
1E2-2B8
1E2-2C9
1E3 [Mouse hybridoma against human MPO]
1E3 [Mouse hybridoma against Pari-ICR]
1E4
1E4-1C2
1E4-1D9
1E5 [Mouse hybridoma against amantadine]
1E5 [Mouse hybridoma against human RB1]
1E5 [Mouse hybridoma against parathion]
1E6H5
1E7 [Mouse hybridoma against human IL1-activated endothelial cells]
1E7 [Mouse hybridoma against mouse Celf3]
1E7 [Mouse hybridoma against Seneca Valley virus VP1]
1E7(GC) Clone B
1E8 [Mouse hybridoma against chicken MPZ]
1E8 [Mouse hybridoma against human DSCs]
1E8H3
1E9
1E9A4A4
1F1 [Mouse hybridoma against human ACP5]
1F1 [Mouse hybridoma against human CD14]
1F10 [Mouse hybridoma against CoA].
1F10 [Mouse hybridoma against pig IgA]
1F11 [Mouse hybridoma against human SPP1]
1F11 [Mouse hybridoma against pig IgA]
1F11E5
1F2 [Mouse hybridoma against phage 933W stxA2]
1F2 [Mouse hybridoma against T.annulata macroschizonts]
1F2D2
1F3 [Mouse hybridoma against human PTHLH]
1F3 [Mouse hybridoma against human unknown protein]
1F38
1F4
1F5 [Mouse hybridoma against human MS4A1]
1F5 [Mouse hybridoma against Seneca Valley virus VP1]
1F5.D1
1F5.D6
1F6C8
1F7
1F8
1F8G5D6D2
1F9.1.1
1G1
1G10 [Mouse hybridoma against HIV-1 rev]
1G10 [Mouse hybridoma against pig SIGLEC10]
1G10 [Mouse/rat hybridoma against mouse Cd80]
1G10.1.5
1G11
1G11.14.7
1G12
1G1.9
1G1.E9
1G3 [Mouse hybridoma against human FOLH1]
1G3 [Mouse hybridoma against rat Fcgrt]
1G3.E3
1G4 [Mouse hybridoma against C.botulinum botA]
1G4 [Mouse hybridoma against chicken CSF1]
1G4 [Mouse hybridoma against zearalenone]
1G5 [Mouse hybridoma against chicken IL7R]
1G5 [Mouse hybridoma against human RB1]
1G6
1G7 [Mouse hybridoma against HIV-1 rev]
1G7 [Mouse hybridoma against I.punctatus Ig light chains]
1G7 [Mouse hybridoma against phOX]
1G8 [Mouse hybridoma against human PSCA]
1G9
1H
1H10
1H10-6
1H11 [Mouse hybridoma against human COL1A2]
1H11 [Mouse hybridoma against M.marinum 56 kDa antigen]
1H11 [Mouse hybridoma against methyl-alpha-D-mannopyranoside]
1H11 [Mouse hybridoma against spring viremia of carp virus G]
1H12
1H2
1H2-2C6
1H3
1H4
1H5
1H5.25.9
1H5D7E3
1H6 [Mouse hybridoma against chicken IL7]
1H6 [Mouse hybridoma against human unknown protein]
1H7
1H7-4B
1H7G10D10F7
1H8 [Mouse hybridoma against human BMSC]
1H8 [Mouse hybridoma against human unknown protein]
1H8 [Mouse hybridoma against sheep IgG]
1H9 [Mouse hybridoma against cadmium]
1H9 [Mouse hybridoma against L.mesenteroides zwf]
1HB
1hFT.1.6D4.1C8
1LN-8
1N8
1R [Mouse L cells]
1R10F11.34.16
2-13
2-14
2-179-E11
2-189-H-1
2-1D5
2-2 [Mouse hybridoma against human ENO2]
2-2 [Mouse hybridoma against human IL26]
2-2 [Mouse hybridoma against human TCN2]
2-21
2-27
2-3
2-40
2-44
2-6
2-9
2.03.7
2.1
2.12.1
2.13.2
2.14.3
2.28 M1
2.29
2.31.1
2.43
2.4G2
2:1
2/10SN
2/165
2/24
20
20-10-5S
20-121-1
20-17-3
20-19-1
20-20-3
20-3
20-4-4
20-53-1
20-6-3
20-8-4S
20.1 [Mouse hybridoma against human BTN3A1]
20.1 [Mouse hybridoma against levan]
20.27 (SBU-T6, anti-CD1)
20.3
20.76
20/05-3A4-26-16
20/05-3A4-26-16-Clone 5
200-3-G6-4
200F9
201.3
201-45E9
2012 [Mouse liver]
2018
202-11A8
202-9D10
203-6F5
203-7D10
203-glioma
203B6
203E1H5
203E2
203E3
204-3
204-4
204F4
205AD2
205D12G12
205H8
207TAg
208-2
209/MDCT
2097.2
20A11
20B10
20B6
20C2
20E5
20E8
20G12
20G8
20G9
20H2
21-96-3
210TAg
211F3
214B2
215-2
2161A4
2161B1
2161C1
2161D2
2161D3
2161D4
2161D7
2161E1
2161F8
2161F9
2161G11
2161G7
2161G8
2161H2
2161H3
2161H8
2163A1
2163C3
2163D7
2163F4
2163H4
2164A2
2164A7
2164B6
2164C3
2164G7
2164H5
2164H9
2166G2
2166G4
2172A2
2172B12
2172B5
2172C10
2172C12
2172C2
2172C3
2172D12
2172D6
2172E8
2172E9
2172F11
2172F4
2172G3
2172G4
2172G6
2172H12
2172H6
219
219F3
21a
21A5
21A7.B12.F8
21B7
21D4
21D7
21f
21F4
21H1
21H3
21M18
22
22-1
22/18
221-1-1
221-135-1
221-342-5
221-35-2
221-42-1
221-64-1
222-35C8
224-1A6-A1
224-256-2
224-236-1
225
225.28S
225-1
226H
227-341-4
22B12B2
22C4
22D1
22D6
22H6
22H8-84
23 ScCr
23-1
23-132-27
23/05-4C6-29-3
23/05-4C6-29-3-Clone 5
23.10.36
23.28.57.108
23.3.16
23.38.120.8
23.53.116
23.70.174.83
23.8.34.24
230C
232
232-238-10
234H11E8
236L
23a-14G9
23A-5-21S
23A2
23B4
23B6
23C7
23D7
23E9E7
23F2G
23M-D9
24-2-3
24-210-2
24/04-10B4-24-8
24/04-10B4-24-8-FACS 9-5
240-13D10
240A
241-10C10
241-36-2
241-438-1
245A
245E7
24a
24B11
24B12
24E6
24G5
24H7
24IA2E2E10D5
25-32
25-5-16S
25-9-17S
25-9-17S II
25-9-3S
250-30
250-9G06
252-234-2
254H9
258C4.4
258C4-5
25A4
26-7-11S
26-8-16S
26.4.1
26.5
260-302-2
260-33C4
260F9
260F9-1C9
261-1F3
262C
263A17
263K 3F4
264E
265A
266-6
266-6-Luc
266A4.5
266B2
267.A4.A1
267.C4.C4
2677.1
267T2
2699c4
26B9
26ic
26v-006
26v-009
26v-023
27-1
27.10.2
27.4b.2
27.7.2
270-01-3
271-14D9.F8
271-14E2
271-20A9
271-21H6
271-23G5
272-17E6
273
274D
275-3-2
277 34B3 20170123
27a
27C10
28-11-5S
28-12
28-12 (Ara)
28-13-3S
28-14-8S
28-16-8S
28-2-3
28-2-7
28-4-3
28-5-15
28-6-20
28-8-6S
28.4.10A
280A
280B
280D11
2838c3
283TAg
286-1
287-3
288-3
28B3
28F11
28G7
29-55-4
29.0.C.27
29/24 B11
290-4E10
290.5C10
291B2
291C10
291F8
292.118.6.4
292.12.3.1
292.63.5.3
292.72.3.1
292.84.1.6
293C8
293D2
293F4
294.144.3.5
294.154.5.6
294.163.2.1
294.35.2.6.3
294F5
294F7
294G2
295A5
295D2
296
296A10
296B11
296G2
296H8
296H9
297-17
29A9
29E1
2A1 [Mouse hybridoma against chicken retinal antigen]
2A1 [Mouse hybridoma against T.kirilowii trichosanthin]
2A1-H7
2A10 [Mouse hybridoma against P.falciparum csp]
2A10 [Mouse hybridoma against rotavirus B VP7]
2A10.1.1
2A11
2A1H1D1D4
2A2 [Mouse hybridoma against E.coli radA]
2A2 [Mouse hybridoma against human PSCA]
2A2.16.7
2A2(PGM1) Clone A6
2A2-6E10-1D8
2A3 [Mouse hybridoma against human IL37]
2A3 [Mouse hybridoma against human unknown protein]
2A3A1H
2A5 [Mouse hybridoma against human GRN]
2A5 [Mouse hybridoma against human HFE]
2A5 [Mouse hybridoma against human IL1RL1]
2A5 [Mouse hybridoma against human TIMP1]
2A5 [Mouse hybridoma against Seneca Valley virus VP3]
2A6 [Mouse hybridoma against chicken IL7R]
2A6 [Mouse hybridoma against human RBP4]
2A8 [Mouse hybridoma against phthalate]
2A8 [Mouse hybridoma against saikosaponin A]
2A81G5
2A9 [Mouse hybridoma against human MBL2]
2A9 [Mouse hybridoma against TMUV NS1]
2AC7
2B11-1F3
2B11E6G4
2B12
2B12B6
2B2 [Mouse hybridoma against human GOLM1]
2B2 [Mouse hybridoma against phOX]
2B2F1E6G3
2B4 [Mouse hybridoma against asiaticoside]
2B4 [Mouse hybridoma against human CD275]
2B4 [Mouse T-cell hybridoma]
2B4C8C8
2B5
2B5.3
2B5.F8
2B6
2B6H2
2B7
2B7-7
2B8 [Mouse hybridoma against human MS4A1]
2B8 [Mouse hybridoma against mouse Bub1]
2B9
2BBLC403.4
2BBLC803.1
2BBLC811.2
2BBLC817.4
2BBLC854.5
2BD2
2BD4E4 K99
2BG2
2C1
2C11-4
2C12
2C1H7
2C3 [Mouse hybridoma against human MMP9]
2C3 [Mouse hybridoma against human VEGFA]
2C3C5
2C4 [Mouse hybridoma against 2,4-D/2,4-DP]
2C4 [Mouse hybridoma against human ERBB2]
2C4 [Mouse hybridoma against rabbit RLA-DQ]
2C4C2
2C4D1
2C5 [Mouse hybridoma against human SPP1]
2C5 [Mouse hybridoma against TMUV NS1]
2C5-6
2C5D6
2C6 [Mouse hybridoma against imazethapyr]
2C6 [Mouse hybridoma against T.mossambica IgM]
2C6F3
2C7 [Mouse hybridoma against human CA9]
2C7 [Mouse hybridoma against human FOLH1]
2C7 [Mouse hybridoma against N.gonorrhoease LOS]
2C7 [Mouse hybridoma against Pasteurellaceae 39-42 kDa OmpA-like]
2C7 [Mouse hybridoma against phOX]
2C8
2C8G10D6F9
2C8H3
2C9 [Mouse hybridoma against aflatoxin M1]
2C9 [Mouse hybridoma against human FOLH1]
2C9 [Mouse hybridoma against N.fowleri NfCPB]
2C9B10
2D-7
2D/11C
2D1 [Mouse hybridoma against human IL37]
2D1 [Mouse hybridoma against human TcRv beta-8.1]
2D1 [Mouse hybridoma against PEDV spike glycoprotein]
2D10 [Mouse hybridoma against methyl-alpha-D-mannopyranoside]
2D10 [Mouse hybridoma against zearalenone]
2D10 [Mouse/rat hybridoma against mouse Cd86]
2D11
2D12 [Mouse hybridoma against canine distemper virus protein H]
2D12 [Mouse hybridoma against yellow fever virus envelope protein]
2D12 [Mouse hybridoma against M.rotundus protein]
2D1C11
2D3 [Mouse hybridoma against human CHI3L2]
2D3 [Mouse hybridoma against phthalate]
2D3 [Mouse hybridoma against zearalenone]
2D3B5
2D4 [Mouse hybridoma against ganglioside GM2]
2D4 [Mouse hybridoma against goose parvovirus NS1]
2D4 [Mouse hybridoma against HPV18 E7]
2D4 [Mouse hybridoma against P.falciparum csp]
2D4 iPS
2D5 [Mouse hybridoma against goose parvovirus VP3]
2D5 [Mouse hybridoma against human SKI]
2D5 [Mouse hybridoma against suid herpesvirus 1 UL42]
2D6
2D6F9
2D7
2D7.20
2D7F10
2D8 [Mouse hybridoma against human SORT1]
2D8 [Mouse hybridoma against T.tridentatus TP-1]
2D8F9H12
2D9 [Mouse hybridoma against H.hepaticus cdtB]
2D9 [Mouse hybridoma against HAstV-8 VP25]
2D9 [Mouse hybridoma against influenza A virus HA]
2DE12-AE6
2DE9-BC1
2E.6
2E1 [Mouse hybridoma against human AURKA]
2E1 [Mouse hybridoma against Seneca Valley virus VP1]
2E10-H2
2E10.2
2E11 [Mouse hybridoma against human GPC3]
2E11 [Mouse hybridoma against human SPP1]
2E11 [Mouse hybridoma against influenza D virus HE]
2E11 [Mouse hybridoma against rat Hmgb1]
2E12 [Human/mouse hybridoma]
2E12 [Mouse hybridoma against human VTN]
2E12 [Mouse hybridoma against influenza D virus HE]
2E12 [Mouse hybridoma against phthalate]
2E2A6
2E3 [Mouse hybridoma against human KLK6]
2E3 [Mouse hybridoma against influenza D virus HE]
2E3-1D8
2E3-O
2E4
2A5
2E5.G10
2E6 [Mouse hybridoma against M.tuberculosis Ag85A]
2E6 [Mouse hybridoma against Pseudomonas P.J. 874 hpd]
2E6 [Mouse/hamster hybridoma against mouse Itgb2]
2E8 [Mouse bone marrow]
2E8 [Mouse hybridoma against ITeA]
2E8 [Mouse hybridoma against MTPS]
2E8E9E10F2
2E9 [Mouse hybridoma against human IL37]
2E9 [Mouse hybridoma against influenza D virus HE]
2EA2
2EF
2F-2B
2F/11F
2F.11.15
2F1 [Mouse hybridoma against deltamethrin]
2F1 [Mouse hybridoma against human PTHLH]
2F1 [Mouse hybridoma against human unknown protein]
2F1.E10
2F10 [Mouse hybridoma against human SPP1]
2F10 [Mouse hybridoma against HPV16 E6]
2F11 [Mouse hybridoma against influenza A virus HA]
2F11 [Mouse hybridoma against tigecycline]
2F11-E10
2F11/A9
2F12
2F12-F5
2F2 [Mouse hybridoma against A.pleuropneumoniae tonB2]
2F2 [Mouse hybridoma against fibrin D-dimer]
2F2 [Mouse hybridoma against influenza A virus HA]
2F2 [Mouse hybridoma against M.tuberculosis Ag85A]
2F2 [Mouse hybridoma against mercury]
2F2 [Mouse hybridoma against P.vivax csp]
2F2F7
2F3 [Mouse hybridoma against human GPC3]
2F3 [Mouse hybridoma against lutein and other carotenoids]
2F3 [Mouse hybridoma against thebaine]
2F5
2F6 [Mouse hybridoma against human CKB/CKM]
2F6 [Mouse hybridoma against M.synoviae]
2F8 [Mouse hybridoma against human OXTR]
2F8 [Mouse hybridoma against PCV2 Cap]
2F8.C10
2F9
2F9-C9
2G1 [Mouse hybridoma against mouse Zbtb33]
2G1 [Mouse hybridoma against thebaine]
2G1.1.12
2G10 [Mouse hybridoma against human TACSTD2]
2G10 [Mouse hybridoma against human TYR]
2G11 [Mouse hybridoma against C.botulinum botA]
2G11 [Mouse hybridoma against suid herpesvirus 1 UL42]
2G2
2G2B(AAT) Clone 4D4
2G3 [Mouse hybridoma against human 34 kDa antigen]
2G3 [Mouse hybridoma against human HMW mucin]
2G3 [Mouse hybridoma against rat Fcgrt]
2G3-6E3-2E2
2G4
2G5
2G6 [Mouse hybridoma against aflatoxins G]
2G6 [Mouse hybridoma against Seneca Valley virus VP1]
2G6/G12
2G7 [Mouse hybridoma against human endothelial cells]
2G7 [Mouse hybridoma against human TFGB1/2/3]
2G7 [Mouse hybridoma against rat Hmgb1]
2G7-E8
2G8
2G8.D6
2G8D10
2G9B9H6A2
2H-11
2H1
2H12
2H3
2H4 [Mouse hybridoma against human CALCA]
2H4 [Mouse hybridoma against human ERBB2]
2H4 [Mouse hybridoma against human F2]
2H4 [Mouse hybridoma against TMUV NS1]
2H6
2H6-C2
2H7
2H8 [C.migratorius hybridoma against mouse Pecam1]
2H8 [Mouse hybridoma against monensin A]
2H8 [Mouse hybridoma against phenylethanolamine A]
2H9 [Mouse hybridoma against CDV hemagglutinin]
2H9 [Mouse hybridoma against human PSCA]
2H9 [Mouse hybridoma against human RPSA]
